Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CSO;Combined Syndicates of America;;;;Sindicatos Combinados de America;;;;;;;;;x;
CSO_ADJ;American;;;;Americana;;;;;;;;;x;
UAS;American Union State;;;;Union del Estado Americano;;;;;;;;;x;
UAS_ADJ;Dixie;;;;Dixie;;;;;;;;;x;
PSA;Pacific States of America;;;;Estados Americanos del Pacifico;;;;;;;;;x;
PSA_ADJ;Pacific;;;;Pacifico;;;;;;;;;x;
secessionist_workers;Secessionist Workers;;;;Trabajadores Secesionistas;;;;;;;;;x;
secessionist_workers_desc;A workers that want a new elections more democratic.;;;;Trabajadores que exijen nuevas elecciones mas democraticas.;;;;;;;;;x;
cso_generals_acw_title;The Eagle of the Socialism;;;;El Aguila del Socialismo;;;;;;;;;x;
cso_generals_acw_desc;Assigning these Generals to command our army will be the best option to reach the victory.;;;;Asignando a estos Generales para comandar nuestro ejercito sera la mejor opcion para buscar una victoria;;;;;;;;;x;
uas_generals_acw_title;The Eagle of the Freedom;;;;El Aguila de la Libertad;;;;;;;;;x;
uas_generals_acw_desc;Assigning these Generals to command our army will be the best option to reach the victory.;;;;Asignando a estos Generales para comandar nuestro ejercito sera la mejor opcion para buscar una victoria;;;;;;;;;x;
EVTNAME890000;Secessionist Workers;;;;Trabajadores Secesionistas;;;;;;;;;x;
EVTDESC890000;Workers in the northern and southern states march and protest against us for being an undemocratic government and party in addition to damaging the image of a great country such as the United States.;;;;Trabajadores en los estados del norte y sur, marchan y protestan en contra de nosotros por ser un gobierno y partido no democratico ademas de dañar la imagen que tiene un gran pais como lo es los estados unidos.;;;;;;;;;x;
EVT890000OPTA;Deploy the armed forces;;;;Desplieguen a las fuerzas armadas;;;;;;;;;x;
EVT890000OPTB;All involved are arrested;;;;All involved are arrested;;;;;;;;;x;
EVTNAME890010;The Elections of 36th;;;;Las eleciones del 36;;;;;;;;;x;
EVTDESC890010;The elections are over! The victory was for the Democratic party with John Nance Garner representing them, for their part John Reed and Huey Long do not recognize these elections and assure that they were not fair and it was a fraud, arguing that these elections were developed in a period of enormous political and economic instability We don't know if there was a possible electoral fraud by the Democrats but this nightmare is finally over... for now...;;;;¡Han finalizado las elecciones! La victoria fue del partido democrata con John Nance Garner representandolos, por su parte John Reed y Huey Long no reconocen estas elecciones y aseguran que no fueron justas y fue un fraude, argumentando que estas elecciones fueron desarrolladas en un periodo de enorme inestabilidad política y económica, no sabemos si hubo un posible fraude electoral por parte de los democratas pero por fin esta pesadilla ah terminado... por ahora..;;;;;;;;;x;
EVT890010OPTA;Finally this nightmare is over;;;;Finalmente esta pesadilla termino;;;;;;;;;x;
EVTNAME890020;Electoral fraud?;;;;Fraude Electoral?;;;;;;;;;x;
EVTDESC890020;After this period of political and economic instability, these elections have ended. But recently the Combined Union of America has presented an extensive amount of evidence that demonstrates electoral fraud in these elections, arguing the purchase and obligation of votes by the Democrats and with this they want to call new elections.;;;;Despues de este periodo de inestabilidad politica y economica, han finalizado estas elecciones. Pero recientemente el Sindicato Combinado de América ah presentado una extensa cantidad de pruebas que demuestran un fraude electoralen estas elecciones argumentando la compra y obligacion de votos por parte de los democratas y con esto quieren llamar a nuevas elecciones;;;;;;;;;x;
EVT890020OPTA;We do not see any fraud in this...;;;;No vemos ningún fraude en esto...;;;;;;;;;x;
EVTNAME890030;National Strike;;;;Paro nacional en el Norte;;;;;;;;;x;
EVTDESC890030;Workers from the northeastern states of the country entered into a national strike as a protest and called for marches throughout the north causing the factories and companies of those states to demand to calm the situation because this causes them many losses, the workers demand new elections and more rights in their jobs. Obviously we won't give them anything... right?;;;;Trabajadores de los estados del noreste del país entraron en un paro nacional como protesta y convoco a marchas en todo el norte causando que las fabricas y empresas de esos estados demanden calmar la situacion porque esto les causa muchas perdidas, los trabajadores exigen unas nuevas elecciones y mas derechos en sus trabajos. Obviamente no les daremos nada... cierto?;;;;;;;;;x;
EVT890030OPTA;Deploy the armed forces;;;;Que el ejercito se encargue de esta situacion...;;;;;;;;;x;
EVT890030OPTB;We'll see what we can do;;;;Vamos a pensarlo...;;;;;;;;;x;
EVTNAME890040;The Chicago Convention;;;;La convencion de Chicago;;;;;;;;;x;
EVTDESC890040;President Garner and politicians John Reed and Huey Long met in Chicago to discuss the current situation of political and economic instability in the United States. Garner tried to talk with Long and Reed but all he did was make the situation worse. This led to riots and fights between supporters of Garner and Reed, causing armed behavior between both sides.;;;;El presidente garner y los políticos John Reed y Huey Long se reunieron en chicago para discutir sobre la situacion actual de inestabilidad politica y economica que estan viviendo los estados unidos, Garner intento dialogar con Long y Reed pero lo unico que hizo es empeorar la situacion. Esto ocaciono disturbios y peleas entre partidarios de Garner y Reed, causando un comportamiento armado entre ambos bandos.;;;;;;;;;x;
EVT890040OPTA;We only have to wait;;;;Solo el tiempo podra ayudarnos...;;;;;;;;;x;
EVTNAME890050;The Ocupation of New England;;;;La ocupacion de Nueva Inglaterra;;;;;;;;;x;
EVTDESC890050;Those bastards from Canada have the nerve to militarily occupy our territory in New England.;;;;Esos desgraciados de Canada tienen el descaro de ocupar militarmente nuestro territorio en nueva inglaterra.;;;;;;;;;x;
EVT890050OPTA;It just can't be;;;;No puede ser;;;;;;;;;x;
EVTNAME890060;The Night Declaration;;;;La declaracion de la Noche;;;;;;;;;x;
EVTDESC890060;'The United States is a beautiful country, but its government does not do everything possible to maintain that beauty, what Washington D.C does not know is that we are not its subjects to let a non-democratic government govern our country' \n\nThe mediations by The government of Garner did not go quite well, the North declared secession and war on our country, arguing that they will not let a non-democratic government like the United States, let a beautiful country like the United States govern. War is imminent and we will not let our country fall for a purposeless rebellion.;;;;'Estados Unidos es un hermoso pais, pero su gobierno no hace lo posible para mantener esa belleza, lo que washington D.C no sabe es que no somos sus subditos para dejar que un gobierno no democratico gobierne nuestro pais' \n\nLas mediaciones por parte del Gobierno de garner no salieron del todo bien, el norte declaro la secesion y la guerra a nuestro pais argumentando que no dejaran que un gobierno no democratico como lo es los estados unidos, dejaran que gobierne un hermoso pais como es los estados unidos. La guerra es inminente y no dejaremos que nuestro pais caiga por una rebelion sin proposito.;;;;;;;;;x;
EVT890060OPTA;We can't allow this;;;;No podemos permitir esto;;;;;;;;;x;
EVT890060OPTB;Out with the Socialism flag! §BPlay with Rebels;;;;Vamos con la libertad! §BJugar con los Rebeldes;;;;;;;;;x;
EVTNAME890070;The Second Night Declaration;;;;La segunda declaracion de la Noche;;;;;;;;;x;
EVTDESC890070;'Recently, our partners in the north, on behalf of the Reed government. They declared secession, since they did not want to be part of a non-democratic government such as the United States. We have the same ideals as the Reed government, and to demonstrate our friendship, we will declare secession and help our comrades out of this problem.' \n\nThese were Long's words when they declared the secession of our country. And now they plan to declare war on us.;;;;'Recientemente, nuestros compañeros del norte, por parte del gobierno de Reed. Declararon la secesion, ya que no querian formar parte de un gobierno no democratico como lo es los estados unidos. Nosotros tenemos los mismos ideales que el gobierno de Reed, y para demostrar nuestra amistad, declararemos la secesion y ayudaremos a nuestros compañeros a salir de este problema' \n\nEstas fueron las palabras de Long cuando nos declararon la secesion de nuestro pais. Y ahora tienen planeado declarar la guerra hacia nosotros.;;;;;;;;;x;
EVT890070OPTA;We can't allow this;;;;No podemos permitir esto;;;;;;;;;x;
EVT890070OPTB;Out with the Democratic flag! §BPlay with Rebels;;;;Vamos con la libertad! §BJugar con los Rebeldes;;;;;;;;;x;
take_new_england_title;Occupy New England;;;;Ocupar Nueva Inglaterra;;;;;;;;;x;
take_new_england_desc;Taking advantage of the fact that our neighbor to the south is at war and its states of New York, Massachusetts and New England are unprotected. We could occupy these territories under a new government called "New England.";;;;Aprovechando que nuestro vecino del sur esta en guerra y sus estados de Nueva York, Massachusets y nueva inglaterra estan desprotegidos. Podriamos ocupar estos territorios bajo un nuevo gobierno llamado "Nueva Inglaterra".;;;;;;;;;x;
EVTNAME890090;The Seccesion of California;;;;La secesion de California;;;;;;;;;x;
EVTDESC890090;Today, the State of California, Oregon, Washington and Idaho have declared the secession, an unforgettable day for our nation...;;;;Hoy, el Estado de California, Oregon, Washington y Idaho han declarado la secesion, un dia inolvidable para nuestra nacion...;;;;;;;;;x;
EVT890090OPTA;Let them come for us!;;;;Esos estupidos creen que pueden hacernos frente;;;;;;;;;x;
