Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
restoration_of_showa_title;The Restoration of the Showa;x;
restoration_of_showa_desc;This country used to be a strongest nation, when the showa run the nation. So, if we want to recover our past glory, we have to stage a coup to bring down the actual government and put the showa in the head of the country.;x; 
Iberia_comi_title;The Iberian Red Federation;;;;;;;;;;;;;
Iberia_comi_desc;After emerging victorious from the civil war, it is time to unify Iberia once again, but not as before, but rather as a new Iberian Union, a Syndicalist Iberian Union.;;;;;;;;;;;;;
Carlistas_title;Carlist Victory;;;;;;;;;;;;;
Carlistas_desc;After a hard war we have won the civil war glory to Carlist Spain;;;;;;;;;;;;;
austria_title;Sending immigrants to Hungary;;;;;;;;;;;;;
austria_desc;After the dissolution of Austria-Hungary and the creation of the federation, we have received many immigrants. We need to get rid of them by sending them to Hungary.;;;;;;;;;;;;;
austria_1_title;Sending immigrants to Hungary;;;;;;;;;;;;;
austria_1_desc;After the dissolution of Austria-Hungary and the creation of the federation, we have received many immigrants. We need to get rid of them by sending them to Hungary.;;;;;;;;;;;;;
austria_2_title;Sending immigrants to Hungary;;;;;;;;;;;;;
austria_2_desc;After the dissolution of Austria-Hungary and the creation of the federation, we have received many immigrants. We need to get rid of them by sending them to Hungary.;;;;;;;;;;;;;
austria_3_title;Sending immigrants to Hungary;;;;;;;;;;;;;
austria_3_desc;After the dissolution of Austria-Hungary and the creation of the federation, we have received many immigrants. We need to get rid of them by sending them to Hungary.;;;;;;;;;;;;;
hungira_win_title;Dissolve the federation.;;;;;;;;;;;;;
hungira_win_desc;After winning the war, it's time to end the Austrian lies and liberate ourselves.;;;;;;;;;;;;;
hungria_gen_title;Genocide in Hungary.;;;;;;;;;;;;;
hungria_gen_desc;The Hungarian people decided to kill the immigrants we sent; this cannot stand.;;;;;;;;;;;;;
austria-hungia_title;Imperial matters.;;;;;;;;;;;;;
austria-hungia_desc;After the annexation of Hungary, the other members of the federation do not view us favorably. What should we do?;;;;;;;;;;;;;
austria-hungia_2_title;Reform the nation.;;;;;;;;;;;;;
austria-hungia_2_desc;After defeating our former allies, we have shown our strength, and it's time to reform the great Austrian Empire.;;;;;;;;;;;;;
austria-hungia_3_title;Expand in Switzerland;;;;;;;;;;;;;
austria-hungia_3_desc;We have to show that Austria is and always was the true German heresy.;;;;;;;;;;;;;
austria-hungia_4_title;Expand into the Kaiserreich;;;;;;;;;;;;;
austria-hungia_4_desc;It's time to show who is the real Germany;;;;;;;;;;;;;
austria-hungia_5_title;Form Germany under the Austrian crown;;;;;;;;;;;;;
austria-hungia_5_desc;After regaining hegemony in southern Germany, it is time to show that we are the true and only Germany;;;;;;;;;;;;;
danubio_title;Ideas for a union;;;;;;;;;;;;;
danubio_desc;After the crisis in Hungary, the union was on the brink of dissolution. We need to restore order.;;;;;;;;;;;;;
danubio_2_title;Attack the italians;;;;;;;;;;;;;
danubio_2_desc;Prepare the integration plan;;;;;;;;;;;;;
danubio_3_title;Attack Bohemia;;;;;;;;;;;;;
danubio_3_desc;we have to do whatever it takes to unify the federation;;;;;;;;;;;;;
danubio_4_title;Finish off polish puppet;;;;;;;;;;;;;
danubio_4_desc;There is little left to end the plan;;;;;;;;;;;;;
danubio_5_title;Finish unification;;;;;;;;;;;;;
danubio_5_desc;We are close to unify we just have to finish with the last 3 countries;;;;;;;;;;;;;
danubio_6_title;Unify the Danube Federation;;;;;;;;;;;;;
danubio_6_desc;we have managed to unify all of austria it is time to reform the federation, the danubian federation;;;;;;;;;;;;;
austria-hungia_lose_title;Defeat in Austrian unification;;;;;;;;;;;;;
austria-hungia_lose_desc;After the disastrous military campaign of unification, we have nothing left but to surrender and talk with the Austrians to re-establish the union and recover the glory of the Austro-Hungarian Empire.;;;;;;;;;;;;;
Italy_socia_title;Syndicalist Saviors;;;;;;;;;;;;;
Italy_socia_desc;After the war, Italy was devastated, only the syndicalist union could restore the Italian nation.;;;;;;;;;;;;
Italy_socia_1_title;Nationalists in the Italian people;;;;;;;;;;;;;
Italy_socia_1_desc;In the streets they hear of a new hope for Italy, a new Italy, a red Italy;;;;;;;;;;;;
Italy_socia_2_title;March South;;;;;;;;;;;;;
Italy_socia_2_desc;Our leaders indicate a clear objective the security of Rome;;;;;;;;;;;;
Italy_socia_3_title;The fate of the pope;;;;;;;;;;;;;
Italy_socia_3_desc;The plan would be to take Rome the problem that is in the hands of the Pope and the majority of the population is Catholic. this can define the fate of all of italy;;;;;;;;;;;;
Italy_socia_4_title;Victory for the Italian trade unionist;;;;;;;;;;;;;
Italy_socia_4_desc;After winning a hard war we have shown that we are the legitimate heirs of Italy;;;;;;;;;;;;
Italy_socia_5_title;Attack sicily;;;;;;;;;;;;;
Italy_socia_5_desc;We have to understand the Italian state;;;;;;;;;;;;
Italy_socia_6_title;Attack Sardinia;;;;;;;;;;;;;
Italy_socia_6_desc;We have to understand the Italian state;;;;;;;;;;;;
Italy_socia_7_title;End republican Italy;;;;;;;;;;;;;
Italy_socia_7_desc;We have to understand the Italian state;;;;;;;;;;;;
Italy_socia_8_title;Italian unification;;;;;;;;;;;;;
Italy_socia_8_desc;After years of conflicts we have managed to unify all of Italy;;;;;;;;;;;;
Italy_socia_7_pap_title;Expand the Papacy;;;;;;;;;;;;;
Italy_socia_7_pap_desc;To maintain status in government we must expand papal domains;;;;;;;;;;;;
Italy_socia_8_pap_title;Cede two sicilies;;;;;;;;;;;;;
Italy_socia_8_pap_desc;To maintain status in government we must expand papal domains;;;;;;;;;;;;
Italy_socia_9_pap_title;Attack sardinia;;;;;;;;;;;;;
Italy_socia_9_pap_desc;To maintain status in government we must expand papal domains;;;;;;;;;;;;
Italy_socia_10_pap_title;Cede the island of sardinia;;;;;;;;;;;;;
Italy_socia_10_pap_desc;To maintain status in government we must expand papal domains;;;;;;;;;;;;
Italy_socia_11_pap_title;End the republic;;;;;;;;;;;;;
Italy_socia_11_pap_desc;The Pope told us that we have to destroy the Italian Republic;;;;;;;;;;;;
Italy_socia_12_pap_title;Ceding venice;;;;;;;;;;;;;
Italy_socia_12_pap_desc;To maintain status in government we must expand papal domains;;;;;;;;;;;;
Italy_socia_13_pap_title;Catholic revolution;;;;;;;;;;;;;
Italy_socia_13_pap_desc;The pope proclaimed that the only way to restore Italy is the papal way and it's time for revolution;;;;;;;;;;;;
Italy_socia_14_pap_title;Papal victory;;;;;;;;;;;;;
Italy_socia_14_pap_desc;After winning the civil war it is time to program a new italy;;;;;;;;;;;;
Italia_empire_title;Ideas of the Italian Empire;;;;;;;;;;;;;
Italia_empire_desc;After the war, Italy was divided, it's time to restart;;;;;;;;;;;;
Italia_empire_2_title;Protect the papacy;;;;;;;;;;;;;
Italia_empire_2_desc;The papacy has fallen, it's time for them to return to real Italian hands.;;;;;;;;;;;;
Italia_empire_3_title;Take Tuscany;;;;;;;;;;;;;
Italia_empire_3_desc;The poor Italian people in Tuscany have to be released;;;;;;;;;;;;
Italia_empire_4_title;Liberate central Italy;;;;;;;;;;;;;
Italia_empire_4_desc;We are close to repelling the forces of the Italian revolution, it is time to liberate the center of Italy.;;;;;;;;;;;;
Italia_empire_5_title;Recover Sardinia-Piedmont;;;;;;;;;;;;;
Italia_empire_5_desc;It's time to end everything and recover the last part of Italy;;;;;;;;;;;;
Italia_empire_6_title;Proclaim the Italian Empire;;;;;;;;;;;;;
Italia_empire_6_desc;After years of conflicts, King Victor Emmanuel III returns to Italy to proclaim the new empire;;;;;;;;;;;;
form_reinounido_brasilandalgarves_title;Reunify the Portuguese crowns;;;;;;;;;;;;;
form_reinounido_brasilandalgarves_desc;The chaos in Europe leads us to reunify the recovered empire Brazil;;;;;;;;;;;;
