Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
hirohito;Hirohito;x;
yokuseiha_faction;Yokuseiha Faction;x;
kodoha_faction;Kodoha Faction;x;
kakushinha_faction;Kakushinha Faction;x;
clipper_transport;Light Transport Ship;x;
manowar;Battleship;x;
commerce_raider;Dreadnought;x;
steam_transport;Transport Ship;x;
ironclad;Destroyer;x;
monitor;Aircraft Carrier;x;
cruiser;Modern Cruiser;x;
battleship;Submarine;x;
dreadnought;Modern Battleship;x;
commerce_raiders;Dreadnoughts;x;
ironclads;Destroyers;x;
monitors;Aircraft Carriers;x;
pre_dreadnought;Submarines;x;
dreadnoughts;Post-Cold War Battleships;x;
dragoon;Special Forces;x;
guard;Heavy Infantry;x;
cuirassier;Modern Tank;x;
hussar;Strategic Bombers;x;
plane;Fighter Aircraft;x;
interwar_infantry;Modern Infantry;x;
interwar_cavalry;Modern Military Tactics;x;
early_interwar_bombers;Late Interwar Bobmers;x;
late_interwar_bombers;Modern Bobmers;x;
early_interwar_fighters;Late Interwar Fighters;x;
late_interwar_fighters;Modern Fighters;x;
